,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
1000,1479.33.00,−1571.46.00,2548.22.00,−1400.58.00,−126.34.00,surströmming,349.53.00,419.12.00,6877.18.00,−90627.11.00,FALSE,FALSE,1412.32.00
1001,1015.19.00,744.32.00,2592.17.00,−1451.20.00,1637.58.00,mustard silt,−34.38.00,228.57.00,5970.45.00,−89811.14.00,TRUE,FALSE,−123.44.00
1002,291.29.00,23.38,1524.06.00,−879.27.00,385.07.00,mustard silt,−1330.54.00,53.30.00,6258.33.00,−90440.39.00,FALSE,FALSE,−1037.29.00
1003,766.09.00,1107.39.00,2439.59.00,−1562.21.00,771.10.00,mustard silt,188.08.00,1598.52.00,7091.31.00,−89854.45.00,TRUE,FALSE,−998.33.00
1004,−321.18.00,21.49,2400.52.00,−245.50.00,381.07.00,mustard silt,1295.16.00,−739.16.00,6608.11.00,−90275.40.00,TRUE,FALSE,−423.12.00
1005,235.58.00,1631.57.00,1267.58.00,−1482.45.00,258.58.00,mustard silt,320.57.00,14.15,5820.21.00,−89800.29.00,TRUE,FALSE,−609.51.00
1006,−1464.02.00,1557.23.00,1032.26.00,−1381.38.00,428.03.00,mustard silt,1617.02.00,−893.17.00,6380.45.00,−89957.51.00,TRUE,FALSE,−779.14.00
1007,30.19.00,1275.52.00,1982.57.00,−107.24.00,1141.15.00,mustard silt,−728.31.00,971.16.00,5564.17.00,−90742.33.00,TRUE,FALSE,−1374.18.00
1008,126.58.00,−158.42.00,2113.13.00,−459.52.00,−682.17.00,surströmming,−587.22.00,712.45.00,7112.04.00,−90391.01.00,TRUE,FALSE,192.23.00
1009,1509.13.00,228.21.00,1320.57.00,−1551.04.00,502.22.00,mustard silt,−1026.50.00,−251.17.00,6548.17.00,−89664.34.00,TRUE,FALSE,−216.27.00
1010,1479.58.00,499.40.00,1318.40.00,−1044.06.00,1099.16.00,mustard silt,318.20.00,724.35.00,6567.28.00,−89748.57.00,FALSE,FALSE,−14.36.00
1011,119.14.00,−170.25.00,1724.40.00,−392.15.00,−708.04.00,surströmming,1311.36.00,−1004.47.00,6899.40.00,−89321.41.00,TRUE,FALSE,1277.22.00
1012,1606.21.00,−48.59.00,2345.16.00,−1390.07.00,−440.54.00,surströmming,321.22.00,−1220.27.00,7038.40.00,−89255.07.00,FALSE,FALSE,988.25.00
1013,−47.34.00,396.43.00,2451.46.00,−472.26.00,1205.54.00,mustard silt,125.50.00,1072.06.00,6747.11.00,−90558.55.00,TRUE,FALSE,−1702.35.00
