,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
0,Jorg,1497.40.00,−1525.32.00,1126.28.00,−1226.11.00,−24.50.00,silt med schnapps,364.59.00,524.57.00,6780.06.00,−90073.15.00,FALSE,FALSE,774.26.00
1,Atsuto,580.49.00,−626.49.00,1061.20.00,−1319.55.00,−46.28.00,surströmming,−173.16.00,1558.23.00,5869.27.00,−90688.47.00,FALSE,FALSE,1538.01.00
2,Bob,885.52.00,736.36.00,1198.17.00,−355.56.00,1620.31.00,mustard silt,−462.11.00,−1520.41.00,5869.57.00,−90257.08.00,TRUE,FALSE,−1463.14.00
3,Atsuto,−103.07.00,95.02.00,1679.24.00,−1663.23.00,542.13.00,mustard silt,1073.09.00,533.30.00,5891.55.00,−89541.51.00,TRUE,FALSE,−1534.37.00
4,Atsuto,638.43.00,1144.00.00,2149.42.00,−1485.06.00,851.07.00,mustard silt,125.30.00,1011.03.00,6790.58.00,−90494.08.00,TRUE,FALSE,−852.45.00
5,Jorg,654.39.00,1323.01.00,1972.43.00,−241.41.00,1244.59.00,mustard silt,1649.44.00,1215.28.00,6360.42.00,−89662.56.00,TRUE,FALSE,−144.53.00
6,Bob,−568.51.00,646.40.00,1553.15.00,−1632.08.00,90.07.00,mustard silt,−251.03.00,487.17.00,6691.28.00,−90608.54.00,TRUE,FALSE,−1565.28.00
7,Atsuto,1501.50.00,567.34.00,1868.58.00,−1542.22.00,1248.39.00,mustard silt,−1554.58.00,−437.37.00,5479.04.00,−90479.36.00,TRUE,FALSE,−1144.19.00
8,Jorg,−243.46.00,444.36.00,2126.04.00,−132.32.00,1311.16.00,mustard silt,716.04.00,1394.37.00,5870.44.00,−89440.11.00,TRUE,FALSE,−1681.19.00
9,Bob,1018.28.00,861.16.00,2026.10.00,−1414.44.00,229.08.00,mustard silt,−618.24.00,610.00.00,6156.58.00,−90791.38.00,TRUE,FALSE,−248.53.00
10,Jorg,965.40.00,551.48.00,1996.23.00,−1204.10.00,1213.58.00,mustard silt,421.07.00,80.26.00,6806.10.00,−89665.01.00,FALSE,FALSE,−1238.46.00
11,Jorg,245.38.00,−529.54.00,2656.13.00,−713.11.00,−1498.55.00,surströmming,24.55.00,324.01.00,6859.56.00,−90848.31.00,FALSE,FALSE,1399.51.00
12,Atsuto,436.20.00,1109.26.00,2374.10.00,−1311.10.00,775.06.00,mustard silt,−1015.01.00,514.44.00,6669.15.00,−89195.55.00,TRUE,FALSE,−865.41.00
